case,image1,probability1,image2,probability2,user_choice,score
pr,4,0,3,0,right,0
cp,6,1,5,0,right,0
cr,1,0,2,1,left,0
pp,8,1,7,1,right,0
pr,4,0,3,0,right,-1
cp,6,0,5,0,right,-1
cr,1,0,2,1,left,-1
cp,5,0,6,0,left,-1
pp,7,0,8,1,right,-1
cr,1,1,2,1,right,-2
pr,4,1,3,0,left,-1
cr,1,0,2,1,right,0
pp,7,0,8,1,left,1
pr,3,0,4,0,right,1
cp,5,1,6,0,right,1
cp,6,0,5,0,left,1
pr,3,1,4,0,left,1
cr,1,0,2,1,right,2
pp,7,1,8,0,left,3
cr,2,0,1,1,left,2
pr,4,1,3,0,right,2
cp,6,1,5,0,right,2
pp,7,0,8,1,left,2
cp,5,0,6,0,right,2
pp,8,1,7,1,right,2
pr,3,1,4,1,left,1
cr,1,1,2,1,right,2
pp,7,0,8,1,right,3
pr,3,1,4,0,left,2
cr,1,0,2,1,right,3
pp,7,0,8,1,left,4
cr,1,0,2,1,right,4
cp,6,0,5,0,left,5
pr,4,1,3,0,right,5
cr,2,0,1,1,left,5
cp,6,1,5,0,left,5
pp,7,1,8,1,left,4
pr,4,1,3,0,right,3
cr,1,1,2,1,right,3
pr,4,0,3,0,right,4
cp,6,1,5,1,right,4
pp,7,0,8,1,left,3
pr,3,1,4,0,right,3
cr,2,0,1,1,right,3
cp,6,1,5,0,left,4
pp,7,0,8,1,left,3
pr,3,1,4,0,right,3
cr,2,0,1,1,right,3
pp,7,1,8,1,left,4
cp,5,1,6,1,right,3
cp,5,1,6,0,right,2
pp,7,0,8,0,left,2
pr,3,1,4,0,right,2
cr,1,0,2,1,right,2
pp,8,0,7,1,left,3
pr,3,1,4,0,right,3
cr,1,0,2,1,right,3
cp,6,1,5,1,right,4
pp,7,1,8,1,left,3
cr,1,1,2,1,right,2
pr,3,0,4,1,right,3
cp,5,1,6,0,right,4
pp,7,1,8,1,left,4
cr,1,0,2,0,right,3
pp,7,1,8,1,left,3
pr,4,1,3,0,right,2
cr,2,0,1,1,right,2
cr,1,0,2,1,right,3
pp,7,0,8,1,left,4
pr,4,1,3,0,right,4
cp,6,1,5,0,right,4
pr,3,1,4,0,right,4
cr,2,0,1,1,left,4
cp,5,1,6,0,right,4
pp,7,0,8,1,right,4
pp,7,0,8,1,left,3
cp,5,0,6,0,right,3
cr,2,0,1,0,right,3
pr,3,0,4,0,right,3
cp,5,0,6,0,right,3
pp,7,0,8,1,right,3
cr,1,0,2,1,right,2
pr,3,1,4,0,left,3
cp,5,0,6,1,right,4
pp,7,0,8,0,left,3
cr,2,0,1,1,right,3
cr,1,0,2,1,right,4
cp,5,1,6,1,right,5
pp,8,0,7,1,right,4
pr,3,1,4,0,right,3
cr,1,0,2,1,right,3
pp,8,0,7,1,right,4
cp,5,0,6,0,right,3
pr,4,1,3,1,right,3
cr,1,0,2,1,right,4
cp,5,0,6,0,left,5
pp,8,0,7,1,left,5
pr,3,1,4,0,left,5
cr,2,1,1,1,right,6
pp,7,0,8,0,left,7
pr,3,1,4,0,left,7
cp,6,1,5,0,right,8
cr,1,1,2,1,right,8
pr,3,1,4,1,left,9
pp,7,0,8,1,left,10
cp,5,0,6,1,left,10
cr,2,1,1,1,right,10
pr,3,0,4,0,left,11
pp,7,0,8,0,left,11
cp,6,1,5,0,right,11
cr,1,0,2,0,right,11
cp,6,1,5,0,right,11
pp,7,0,8,1,right,11
pr,4,1,3,0,right,10
cp,5,1,6,0,left,10
cr,1,0,2,1,right,9
pp,7,0,8,0,left,10
pr,4,1,3,0,right,10
pr,3,1,4,0,left,10
cr,2,1,1,1,right,11
cp,5,0,6,0,left,12
pp,7,1,8,1,left,12
cr,1,0,2,1,right,11
pp,8,1,7,1,right,12
cp,5,1,6,0,left,11
pr,4,1,3,0,right,10
cr,1,0,2,1,right,10
pp,7,1,8,1,left,11
cp,5,1,6,0,left,10
pr,3,1,4,0,left,9
cp,6,1,5,0,right,10
pr,3,1,4,0,right,10
pp,8,0,7,0,left,10
cr,1,0,2,1,right,10
pr,3,1,4,0,right,11
pp,8,0,7,0,left,11
cr,2,0,1,1,right,11
cp,6,1,5,0,right,12
cp,5,1,6,1,left,12
pp,7,0,8,0,right,11
cr,1,0,2,1,right,11
pr,3,1,4,0,left,12
cp,5,1,6,0,right,13
pr,3,1,4,0,left,13
pp,7,0,8,0,right,14
cr,1,1,2,1,right,14
cp,6,0,5,0,right,15
cr,1,1,2,1,right,15
pr,4,1,3,1,left,16
pp,7,0,8,0,right,17
pr,4,0,3,0,right,17
pp,8,0,7,1,left,17
cr,1,0,2,1,right,17
cp,5,0,6,0,right,18
pr,3,1,4,1,right,18
pp,7,0,8,1,left,19
cr,1,0,2,1,right,19
cp,5,1,6,0,left,20
pr,3,1,4,0,left,19
pp,7,1,8,1,left,20
cp,5,1,6,0,right,19
cr,1,1,2,1,right,19
cr,1,0,2,1,right,20
pp,8,1,7,1,right,21
pr,3,1,4,0,left,20
cp,5,0,6,0,right,21
pp,7,0,8,0,left,21
cr,1,0,2,1,right,21
cp,5,1,6,1,right,22
pr,3,1,4,0,left,21
pp,7,1,8,0,right,22
cr,2,1,1,1,left,22
cp,5,0,6,0,right,23
pr,3,1,4,0,left,23
pp,7,1,8,0,right,24
cr,2,0,1,1,left,24
cp,6,1,5,0,right,24
pr,3,1,4,0,left,24
pr,3,1,4,0,left,25
cr,1,0,2,0,right,26
pp,7,0,8,1,left,26
cp,5,1,6,1,right,26
pp,7,0,8,1,left,25
cp,5,0,6,0,right,25
pr,3,1,4,0,left,25
cr,1,0,2,0,right,26
cp,5,1,6,1,right,26
cr,2,0,1,0,left,25
pr,3,1,4,0,left,25
pp,8,0,7,1,left,26
cp,5,1,6,0,right,26
pr,3,1,4,0,left,26
pp,7,0,8,1,left,27
cr,2,0,1,1,right,27
cp,5,1,6,0,right,28
pr,3,0,4,0,left,28
cr,2,1,1,1,right,28
pp,7,0,8,1,left,29
pp,8,0,7,0,left,29
pr,3,1,4,0,left,29
cp,5,1,6,0,right,30
cr,2,0,1,0,right,30
cr,1,1,2,1,right,30
pr,3,0,4,0,left,31
cp,6,1,5,0,left,31
pp,7,1,8,1,left,30
cp,5,0,6,0,right,29
pr,4,1,3,0,left,29
cr,1,0,2,1,right,30
cp,5,1,6,0,right,31
pp,7,0,8,1,right,31
cr,1,0,2,0,right,30
