case,image1,probability1,image2,probability2,user_choice,score
cr,1,1,2,1,right,0
pr,3,0,4,1,left,1
cp,5,0,6,0,right,1
cp,5,1,6,1,left,1
cr,1,0,2,0,right,0
pr,3,1,4,0,left,0
pp,8,0,7,0,left,1
pr,3,1,4,0,right,1
pp,7,0,8,1,right,1
cr,1,0,2,1,right,0
cp,5,1,6,0,left,1
cp,6,1,5,0,right,0
cr,2,0,1,1,left,0
pp,7,0,8,0,right,0
cr,1,0,2,1,left,0
cp,6,1,5,0,right,0
pr,3,1,4,0,right,0
pp,7,0,8,1,right,0
pr,3,1,4,0,right,-1
cr,1,1,2,1,left,-1
cp,5,1,6,0,left,0
pp,7,0,8,1,left,-1
pp,7,0,8,1,right,-1
cr,2,0,1,1,left,-2
pr,3,1,4,1,left,-2
cp,6,1,5,1,left,-1
cr,1,1,2,1,right,-2
pp,7,0,8,1,right,-1
cp,5,1,6,1,left,-2
pr,3,1,4,0,right,-3
cp,6,0,5,0,right,-3
pp,8,0,7,1,left,-3
cr,1,0,2,1,right,-3
pr,4,1,3,0,right,-2
cr,2,0,1,1,left,-2
pr,4,1,3,1,right,-2
pp,7,0,8,1,right,-1
cp,5,0,6,0,left,-2
cp,5,1,6,0,left,-2
cr,1,1,2,1,right,-3
pr,3,0,4,0,right,-2
pp,8,0,7,1,right,-2
pp,7,1,8,1,left,-3
cr,1,0,2,0,right,-4
pr,3,0,4,0,left,-4
cp,5,0,6,0,right,-4
pp,8,0,7,1,left,-4
cp,6,1,5,0,left,-4
pr,3,0,4,0,right,-5
cr,1,0,2,0,left,-5
pp,7,0,8,1,right,-5
cp,6,1,5,0,left,-6
cr,1,1,2,1,right,-7
pr,3,1,4,0,left,-6
pp,7,0,8,1,right,-5
cp,5,1,6,0,left,-6
cr,1,0,2,1,right,-7
pr,3,1,4,0,left,-6
cp,5,1,6,0,left,-5
pr,4,0,3,0,right,-6
cr,2,0,1,1,left,-6
pp,7,0,8,1,left,-6
cr,2,1,1,1,right,-6
pp,8,0,7,1,left,-5
cp,5,0,6,0,right,-5
pr,3,1,4,0,left,-5
pr,4,1,3,1,right,-4
cp,5,1,6,0,left,-3
cr,2,0,1,1,right,-4
pp,8,0,7,1,left,-3
cr,1,1,2,0,right,-3
pr,3,1,4,0,left,-3
pp,7,1,8,1,left,-2
cp,6,0,5,1,right,-3
cp,5,0,6,0,left,-4
cr,2,0,1,1,right,-4
pr,4,1,3,0,left,-3
pp,7,0,8,0,left,-2
pp,7,0,8,0,right,-2
cp,5,1,6,1,right,-2
cr,1,1,2,1,left,-3
pr,4,1,3,0,right,-2
pp,8,0,7,0,left,-2
cp,6,0,5,1,left,-2
pr,4,1,3,0,right,-2
cr,1,0,2,1,left,-2
cp,5,0,6,0,right,-2
cr,1,0,2,1,left,-2
pp,8,0,7,1,right,-2
pr,4,1,3,0,right,-3
cp,5,1,6,0,right,-3
pp,7,1,8,0,left,-3
cr,1,1,2,1,right,-4
pr,3,1,4,0,right,-3
cr,1,0,2,1,left,-3
pr,3,1,4,0,right,-3
pp,7,0,8,0,left,-3
pr,3,1,4,0,left,-3
cr,1,0,2,1,right,-2
cp,6,1,5,0,left,-1
pp,7,0,8,0,right,-2
cp,6,1,5,0,left,-2
pp,8,0,7,1,right,-3
cr,1,0,2,1,right,-4
pr,3,0,4,0,left,-3
pr,3,1,4,1,left,-3
cp,5,0,6,1,right,-2
pp,8,0,7,1,left,-3
cr,2,0,1,1,left,-3
cp,5,1,6,1,right,-3
cr,2,0,1,0,left,-4
pr,4,1,3,1,right,-4
pp,7,0,8,1,left,-3
pr,3,1,4,0,right,-3
cp,5,1,6,0,right,-3
pp,7,0,8,1,left,-3
cr,2,1,1,0,right,-3
pp,8,0,7,1,left,-3
cp,5,1,6,1,right,-3
cr,1,0,2,1,right,-4
pr,4,1,3,0,left,-3
cp,5,1,6,1,right,-2
cr,1,0,2,0,right,-3
pp,8,0,7,1,left,-3
pr,3,0,4,1,right,-3
cr,1,0,2,0,left,-2
cp,5,1,6,0,right,-2
pp,7,0,8,0,right,-2
pr,3,0,4,1,right,-2
cr,2,1,1,0,left,-1
cp,5,1,6,0,right,0
pr,3,1,4,0,left,0
pp,7,0,8,1,right,1
pp,8,0,7,1,left,0
cr,1,0,2,0,left,0
cp,5,1,6,0,right,0
pr,3,1,4,0,left,0
pr,3,1,4,0,left,1
pp,7,0,8,1,right,2
cp,5,1,6,0,right,1
cp,6,1,5,0,left,1
pr,3,0,4,0,right,0
pp,7,0,8,1,right,0
cr,2,0,1,0,left,-1
cr,1,0,2,1,left,-1
cp,5,1,6,1,right,-1
pp,8,0,7,1,left,-2
pr,4,1,3,0,right,-2
pp,7,0,8,0,left,-2
pr,3,1,4,0,right,-2
cp,5,1,6,1,right,-2
cr,2,0,1,1,left,-3
pr,3,1,4,0,right,-3
cr,1,0,2,1,left,-3
pp,7,1,8,1,right,-3
cp,5,1,6,1,right,-4
cr,1,0,2,1,left,-5
cp,6,0,5,0,left,-5
pp,7,0,8,0,left,-5
